ID	Easting	Northing	Details	River	Water	Trip	NM_ID	Sampling_date	Area_group	Area_group_name
1-S01A	375528	9362230	NA	Huallaga	White	1	NMID3578	20-Jun-18	2	Huallaga
1-S01B	375528	9362230	NA	Huallaga	White	1	NMID3579	20-Jun-18	2	Huallaga
1-S01C	375528	9362230	NA	Huallaga	White	1	NMID3580	20-Jun-18	2	Huallaga
1-S01D	375528	9362230	NA	Huallaga	White	1	NMID3581	20-Jun-18	2	Huallaga
1-S02A	406099	9397454	NA	Huallaga	White	1	NMID3582	25-Jun-18	2	Huallaga
1-S02B	406099	9397454	NA	Huallaga	White	1	NMID3583	25-Jun-18	2	Huallaga
1-S02C	406099	9397454	NA	Huallaga	White	1	NMID3584	25-Jun-18	2	Huallaga
1-S02D	406099	9397454	NA	Huallaga	White	1	NMID3585	25-Jun-18	2	Huallaga
1-S03A	425969	9438115	NA	Huallaga	White	1	NMID3586	21-Jun-18	2	Huallaga
1-S03B	425969	9438115	NA	Huallaga	White	1	NMID3587	21-Jun-18	2	Huallaga
1-S03C	425969	9438115	NA	Huallaga	White	1	NMID3588	21-Jun-18	2	Huallaga
1-S03D	425969	9438115	NA	Huallaga	White	1	NMID3589	21-Jun-18	2	Huallaga
1-S04A	391342	9442803	NA	Maranon	White	1	NMID3590	24-Jun-18	3	Maranon_mid
1-S04B	391342	9442803	NA	Maranon	White	1	NMID3591	24-Jun-18	3	Maranon_mid
1-S04C	391342	9442803	NA	Maranon	White	1	NMID3592	24-Jun-18	3	Maranon_mid
1-S04D	391342	9442803	NA	Maranon	White	1	NMID3593	24-Jun-18	3	Maranon_mid
1-S05A	362780	9454699	NA	Maranon	White	1	NMID3594	24-Jun-18	3	Maranon_mid
1-S05B	362780	9454699	NA	Maranon	White	1	NMID3595	24-Jun-18	3	Maranon_mid
1-S05C	362780	9454699	NA	Maranon	White	1	NMID3596	24-Jun-18	3	Maranon_mid
1-S05D	362780	9454699	NA	Maranon	White	1	NMID3597	24-Jun-18	3	Maranon_mid
1-S06A	311444	9465735	NA	Maranon	White	1	NMID3598	22-Jun-18	3	Maranon_mid
1-S06B	309589	9465913	NA	Maranon	White	1	NMID3599	22-Jun-18	3	Maranon_mid
1-S06C	309589	9465913	NA	Maranon	White	1	NMID3600	22-Jun-18	3	Maranon_mid
1-S06D	309589	9465913	NA	Maranon	White	1	NMID3601	22-Jun-18	3	Maranon_mid
1-S07A	283850	9468148	NA	Maranon	White	1	NMID3602	22-Jun-18	3	Maranon_mid
1-S07B	283850	9468148	NA	Maranon	White	1	NMID3603	22-Jun-18	3	Maranon_mid
1-S07C	283850	9468148	NA	Maranon	White	1	NMID3604	22-Jun-18	3	Maranon_mid
1-S07D	283850	9468148	NA	Maranon	White	1	NMID3605	22-Jun-18	3	Maranon_mid
1-S08A	260795	9477502	NA	Maranon	White	1	NMID3606	22-Jun-18	3	Maranon_mid
1-S08B	260795	9477502	NA	Maranon	White	1	NMID3607	22-Jun-18	3	Maranon_mid
1-S08C	260795	9477502	NA	Maranon	White	1	NMID3608	22-Jun-18	3	Maranon_mid
1-S08D	260795	9477502	NA	Maranon	White	1	NMID3609	22-Jun-18	3	Maranon_mid
1-S09A	241798	9480822	NA	Maranon	White	1	NMID3610	22-Jun-18	3	Maranon_mid
1-S09B	241798	9480822	NA	Maranon	White	1	NMID3611	22-Jun-18	3	Maranon_mid
1-S09C	241798	9480822	NA	Maranon	White	1	NMID3612	22-Jun-18	3	Maranon_mid
1-S09D	241798	9480822	NA	Maranon	White	1	NMID3613	22-Jun-18	3	Maranon_mid
1-S10A	233174	9501170	NA	Maranon	White	1	NMID3615	23-Jun-18	3	Maranon_mid
1-S10B	233174	9501170	NA	Maranon	White	1	NMID3616	23-Jun-18	3	Maranon_mid
1-S10C	233174	9501170	NA	Maranon	White	1	NMID3617	23-Jun-18	3	Maranon_mid
1-S10D	233174	9501170	NA	Maranon	White	1	NMID3618	23-Jun-18	3	Maranon_mid
1-S11A	442090	9450344	NA	Maranon	White	1	NMID3834	20-Jun-18	3	Maranon_mid
1-S11B	442090	9450344	NA	Maranon	White	1	NMID3835	20-Jun-18	3	Maranon_mid
1-S11C	442090	9450344	NA	Maranon	White	1	NMID3836	20-Jun-18	3	Maranon_mid
1-S11D	442090	9450344	NA	Maranon	White	1	NMID3837	20-Jun-18	3	Maranon_mid
2-S12A	501616	9475185	Saramuro. Transecto. Margen derecho.	Maranon	White	2	NMID3838	14-Aug-18	4	Maranon_lower
