,,,,,,,,,1-S01A,1-S01B,1-S01C,1-S01D,1-S02A,1-S02B,1-S02C,1-S02D,1-S03A,1-S03B,1-S03C,1-S03D,1-S04A,1-S04B,1-S04C,1-S04D,1-S05A,1-S05B,1-S05C,1-S05D,1-S06A,1-S06B,1-S06C,1-S06D,1-S07A,1-S07B,1-S07C,1-S07D,1-S08A,1-S08B,1-S08C,1-S08D,1-S09A,1-S09B,1-S09C,1-S09D,1-S10A,1-S10B,1-S10C,1-S10D,1-S11A,1-S11B,1-S11C,1-S11D,2-S12A,2-S12B,2-S12C,2-S13A,2-S13B,2-S13C,2-S13D,2-S14A,2-S14B,2-S14C,2-S14D,2-S15A,2-S15B,2-S15C,2-S15D,2-S15E,2-S15F,2-S16A,2-S16B,2-S16C,2-S16D,2-S17A,2-S17B,2-S17C,2-S17D,2-S18A,2-S18B,2-S18C,2-S18D,2-S19A,2-S19B,2-S19C,3-S01a,3-S01b,3-S01c,3-S01d,3-S02a,3-S02b,3-S02c,3-S02d,3-S03a,3-S03b,3-S03c,3-S03d,3-S04a,3-S04b,3-S04c,3-S04d,3-S05a,3-S05b,3-S05c,3-S05d,3-S06a,3-S06b,3-S06c,3-S06d,3-S07a,3-S07b,3-S07c,3-S07d,3-S08a,3-S08b,3-S08c,3-S08d,3-S09a,3-S09b,3-S09c,3-S09d,3-S10a,3-S10b,3-S10c,3-S10d,3-S11a,3-S11b,3-S11c,3-S11d,3-S12a,3-S12b,3-S12c,3-S12d,3-S13a,3-S13b,3-S13c,3-S13d,3-S14a,3-S14b,3-S14c,3-S14d,3-S14e,3-S14f,3-S14g,3-S14h,3-S15a,3-S15b,3-S15c,3-S15d,3-S16a,3-S16b,3-S16c,3-S16d,3-S17A,3-S17b,3-S17c,3-S17d,3-S18a,3-S18b,3-S18c,3-S18d,3-S19a,3-S19b,3-S19c,3-S19d,3-S20a,3-S20b,3-S20c,3-S20d,3-S21a,3-S21b,3-S21c,3-S21d
,,,,,,,,,PM01-1,PM01-2,PM01-3,PM01-4,PM02-1,PM02-2,PM02-3,PM02-4,PM03-1,PM03-2,PM03-3A,PM03-3B,PM04-1,PM04-2,PM04-3,PM04-4,PM05-1,PM05-2,PM05-3,PM05-4,PM06-1A,PM06-1B,PM06-2B,PM06-3B,PM07-1,PM07-2,PM07-3,PM07-4,PM08-1,PM08-2,PM08-3,PM08-4,PM09-1,PM09-2,PM09-3,PM09-4,PM10-1,PM10-2,PM10-3,PM10-4,PM11-1,PM11-2,PM11-3,PM11-4,12A,12B,12C,13A,13B,13C,13D,14A,14B,14C,14D,15A,15B,15C,15D,15E,15F,16A,16B,16C,16D,17A,17B,17C,17D,18A,18B,18C,18D,19A,19B,19C,1A,1B,1C,1D,2A,2B,2C,2D,3A,3B,3C,3D,4A,4B,4C,4D,5A,5B,5C,5D,6A,6B,6C,6D,7A,7B,7C,7D,8A,8B,8C,8D,9A,9B,9C,9D,10A,10B,10C,10D,11A,11B,11C,11D,12A,12B,12C,12D,13A,13B,13C,13D,14A,14B,14C,14D,14E,14F,14G,14H,15A,15B,15C,15D,16A,16B,16C,16D,17A,17B,17C,17D,18A,18B,18C,18D,19A,19B,19C,19D,20A,20B,20C,20D,21A,21B,21C,21D
riverAssociated,OTU_ID,First seen in,Class,Order,Family,Genus,Species,percent_ID,NMID3574,NMID3575,NMID3576,NMID3577,NMID3578,NMID3579,NMID3580,NMID3581,NMID3582,NMID3583,NMID3584,NMID3585,NMID3586,NMID3587,NMID3588,NMID3589,NMID3590,NMID3591,NMID3592,NMID3593,NMID3594,NMID3595,NMID3596,NMID3597,NMID3598,NMID3599,NMID3600,NMID3601,NMID3602,NMID3603,NMID3604,NMID3605,NMID3606,NMID3607,NMID3608,NMID3609,NMID3610,NMID3611,NMID3612,NMID3613,NMID3615,NMID3616,NMID3617,NMID3618,NMID3834,NMID3835,NMID3836,NMID3837,NMID3838,NMID3839,NMID3840,NMID3841,NMID3842,NMID3843,NMID3844,NMID3845,NMID3846,NMID3847,NMID3848,NMID3849,NMID3850,NMID3851,NMID3852,NMID3853,NMID3854,NMID3855,NMID3856,NMID3857,NMID3858,NMID3859,NMID3860,NMID3861,NMID3862,NMID3863,NMID3864,NMID3865,NMID4156,NMID4157,NMID4158,NMID4159,NMID4160,NMID4161,NMID4162,NMID4163,NMID4164,NMID4165,NMID4166,NMID4167,NMID4144,NMID4145,NMID4146,NMID4147,NMID4148,NMID4149,NMID4150,NMID4151,NMID4152,NMID4153,NMID4154,NMID4155,NMID4100,NMID4101,NMID4102,NMID4103,NMID4104,NMID4105,NMID4106,NMID4107,NMID4108,NMID4109,NMID4110,NMID4111,NMID4112,NMID4113,NMID4114,NMID4115,NMID4116,NMID4117,NMID4118,NMID4119,NMID4120,NMID4121,NMID4122,NMID4123,NMID4124,NMID4125,NMID4126,NMID4127,NMID4128,NMID4129,NMID4130,NMID4131,NMID4132,NMID4133,NMID4134,NMID4135,NMID4136,NMID4137,NMID4138,NMID4139,NMID4140,NMID4141,NMID4142,NMID4143,NMID4168,NMID4169,NMID4170,NMID4171,NMID4172,NMID4173,NMID4174,NMID4175,NMID4176,NMID4177,NMID4178,NMID4179,NMID4180,NMID4181,NMID4182,NMID4183,NMID4184,NMID4185,NMID4186,NMID4187
yes,OTU1293,MiSeq18,Actinopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,252,0,0,0,0,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,207,0,0,558,0,0,0,0,0,0
yes,OTU183,MiSeq27,Actinopterygii,Characiformes,Anostomidae,Leporinus,Leporinus affinis,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,223,280,0,0,0,0,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,504,0,0,0,0
yes,OTU376,MiSeq18,Actinopterygii,Characiformes,Bryconidae,Brycon,Brycon orbignyanus,99.065,0,0,495,0,0,377,0,0,0,0,0,0,0,475,557,0,0,0,0,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,0,0,0,775,0,0,0,1262,0,0,259,0,0,0,0,644,0,1797,0,1453,324,0,0,0,1404,418,197,193,389,1085,575,310,1838,0,478,578
yes,OTU1215,MiSeq18,Actinopterygii,Characiformes,Bryconidae,Salminus,Salminus brasiliensis,100,0,0,1687,713,0,0,0,0,678,686,1577,730,2887,0,0,436,388,689,0,0,0,2801,2945,2125,0,0,0,0,354,889,1097,742,1888,3867,1382,0,0,0,0,1301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,958,365,0,0,179,0,0,0,0,362,440,0
yes,OTU1082,MiSeq18,Actinopterygii,Characiformes,Characidae,[Xenurobrycon],[Xenurobrycon heterodon],99.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yes,OTU364,MiSeq18,Actinopterygii,Characiformes,Characidae,Astyanax,Astyanax altiparanae,99.02,3053,4359,2444,3558,1113,1284,866,1296,4726,10847,3627,4515,2881,2059,935,2124,2112,1306,1694,1479,2613,24118,7186,29828,1056,3050,2934,2349,6665,11795,14209,9939,30274,21907,50658,13557,0,1547,1688,3157,0,794,1538,633,0,196,0,0,0,0,0,217,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2308,1172,919,1345,450,288,304,0,334,594,569,982,418,0,199,410,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,714,1148,338,969,0,0,743,0,0,258,0,0,0,0,275,0,0,0
yes,OTU1282,MiSeq27,Actinopterygii,Characiformes,Characidae,Bryconacidnus,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1540,596,1043,1046,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yes,OTU289,MiSeq27,Actinopterygii,Characiformes,Characidae,Chalceus,Chalceus macrolepidotus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0
