,0,KMeans7rivcsslogDetails,KMeans7rivcsslog,KMeans2rivcsslogDetails,KMeans2rivcsslog,KMeans2fullcsslogDetails,KMeans2fullcsslog,KMeans7rivDetails,KMeans7riv,KMeans7rivcssDetails,KMeans7rivcss,KMedians2rivcsslogDetails,KMedians2rivcsslog,KMedians2fullcsslogDetails,KMedians2fullcsslog,KMedians7fullcsslogDetails,KMedians7fullcsslog,HDBSCAN4rivcsslogDetails,HDBSCAN4rivcsslog,HDBSCAN4fullcsslogDetails,HDBSCAN4fullcsslog,KMeans7fullcsslogDetails,KMeans7fullcsslog,KMedians7rivcsslogDetails,KMedians7rivcsslog
1-S01A,0.0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdfCssLog))",1,"KMeans(random_state=11235,n_jobs = -1,n_clusters=2).fit((riverdfCssLog)).labels_",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=2).fit((fulldfCssLog)).labels_",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdf)).labels_",1,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdfCss)).labels_",0,"KMedians(partitions=2,dataframe =riverdfCssLog)",1,"KMedians(partitions=2,dataframe=fulldfCssLog)",1,"KMedians(partitions = 7,dataframe =fulldfCssLog)",6,"hdbscan.HDBSCAN(min_cluster_size=4,metric=""euclidean"").fit_predict(riverdfCssLog)",-1,"hdbscan.HDBSCAN(min_cluster_size=4,metric=""euclidean"").fit_predict(fulldfCssLog)",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((fulldfCssLog))",3,"KMedians(partitions = 7,dataframe =riverdfCssLog)",6
1-S01B,0.0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdfCssLog))",1,"KMeans(random_state=11235,n_jobs = -1,n_clusters=2).fit((riverdfCssLog)).labels_",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=2).fit((fulldfCssLog)).labels_",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdf)).labels_",1,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdfCss)).labels_",0,"KMedians(partitions=2,dataframe =riverdfCssLog)",1,"KMedians(partitions=2,dataframe=fulldfCssLog)",1,"KMedians(partitions = 7,dataframe =fulldfCssLog)",6,"hdbscan.HDBSCAN(min_cluster_size=4,metric=""euclidean"").fit_predict(riverdfCssLog)",-1,"hdbscan.HDBSCAN(min_cluster_size=4,metric=""euclidean"").fit_predict(fulldfCssLog)",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((fulldfCssLog))",3,"KMedians(partitions = 7,dataframe =riverdfCssLog)",6
1-S01C,0.0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdfCssLog))",1,"KMeans(random_state=11235,n_jobs = -1,n_clusters=2).fit((riverdfCssLog)).labels_",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=2).fit((fulldfCssLog)).labels_",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdf)).labels_",1,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdfCss)).labels_",0,"KMedians(partitions=2,dataframe =riverdfCssLog)",1,"KMedians(partitions=2,dataframe=fulldfCssLog)",1,"KMedians(partitions = 7,dataframe =fulldfCssLog)",6,"hdbscan.HDBSCAN(min_cluster_size=4,metric=""euclidean"").fit_predict(riverdfCssLog)",-1,"hdbscan.HDBSCAN(min_cluster_size=4,metric=""euclidean"").fit_predict(fulldfCssLog)",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((fulldfCssLog))",3,"KMedians(partitions = 7,dataframe =riverdfCssLog)",6
1-S01D,0.0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdfCssLog))",1,"KMeans(random_state=11235,n_jobs = -1,n_clusters=2).fit((riverdfCssLog)).labels_",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=2).fit((fulldfCssLog)).labels_",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdf)).labels_",1,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdfCss)).labels_",0,"KMedians(partitions=2,dataframe =riverdfCssLog)",1,"KMedians(partitions=2,dataframe=fulldfCssLog)",1,"KMedians(partitions = 7,dataframe =fulldfCssLog)",6,"hdbscan.HDBSCAN(min_cluster_size=4,metric=""euclidean"").fit_predict(riverdfCssLog)",-1,"hdbscan.HDBSCAN(min_cluster_size=4,metric=""euclidean"").fit_predict(fulldfCssLog)",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((fulldfCssLog))",3,"KMedians(partitions = 7,dataframe =riverdfCssLog)",6
1-S02A,0.0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdfCssLog))",1,"KMeans(random_state=11235,n_jobs = -1,n_clusters=2).fit((riverdfCssLog)).labels_",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=2).fit((fulldfCssLog)).labels_",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdf)).labels_",3,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdfCss)).labels_",0,"KMedians(partitions=2,dataframe =riverdfCssLog)",1,"KMedians(partitions=2,dataframe=fulldfCssLog)",1,"KMedians(partitions = 7,dataframe =fulldfCssLog)",6,"hdbscan.HDBSCAN(min_cluster_size=4,metric=""euclidean"").fit_predict(riverdfCssLog)",3,"hdbscan.HDBSCAN(min_cluster_size=4,metric=""euclidean"").fit_predict(fulldfCssLog)",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((fulldfCssLog))",3,"KMedians(partitions = 7,dataframe =riverdfCssLog)",6
1-S02B,0.0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdfCssLog))",1,"KMeans(random_state=11235,n_jobs = -1,n_clusters=2).fit((riverdfCssLog)).labels_",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=2).fit((fulldfCssLog)).labels_",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdf)).labels_",3,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdfCss)).labels_",0,"KMedians(partitions=2,dataframe =riverdfCssLog)",1,"KMedians(partitions=2,dataframe=fulldfCssLog)",1,"KMedians(partitions = 7,dataframe =fulldfCssLog)",6,"hdbscan.HDBSCAN(min_cluster_size=4,metric=""euclidean"").fit_predict(riverdfCssLog)",3,"hdbscan.HDBSCAN(min_cluster_size=4,metric=""euclidean"").fit_predict(fulldfCssLog)",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((fulldfCssLog))",3,"KMedians(partitions = 7,dataframe =riverdfCssLog)",6
1-S02C,0.0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdfCssLog))",1,"KMeans(random_state=11235,n_jobs = -1,n_clusters=2).fit((riverdfCssLog)).labels_",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=2).fit((fulldfCssLog)).labels_",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdf)).labels_",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdfCss)).labels_",0,"KMedians(partitions=2,dataframe =riverdfCssLog)",1,"KMedians(partitions=2,dataframe=fulldfCssLog)",1,"KMedians(partitions = 7,dataframe =fulldfCssLog)",6,"hdbscan.HDBSCAN(min_cluster_size=4,metric=""euclidean"").fit_predict(riverdfCssLog)",3,"hdbscan.HDBSCAN(min_cluster_size=4,metric=""euclidean"").fit_predict(fulldfCssLog)",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((fulldfCssLog))",3,"KMedians(partitions = 7,dataframe =riverdfCssLog)",6
1-S02D,0.0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdfCssLog))",1,"KMeans(random_state=11235,n_jobs = -1,n_clusters=2).fit((riverdfCssLog)).labels_",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=2).fit((fulldfCssLog)).labels_",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdf)).labels_",3,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdfCss)).labels_",0,"KMedians(partitions=2,dataframe =riverdfCssLog)",1,"KMedians(partitions=2,dataframe=fulldfCssLog)",1,"KMedians(partitions = 7,dataframe =fulldfCssLog)",6,"hdbscan.HDBSCAN(min_cluster_size=4,metric=""euclidean"").fit_predict(riverdfCssLog)",3,"hdbscan.HDBSCAN(min_cluster_size=4,metric=""euclidean"").fit_predict(fulldfCssLog)",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((fulldfCssLog))",3,"KMedians(partitions = 7,dataframe =riverdfCssLog)",5
1-S03A,0.0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdfCssLog))",1,"KMeans(random_state=11235,n_jobs = -1,n_clusters=2).fit((riverdfCssLog)).labels_",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=2).fit((fulldfCssLog)).labels_",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdf)).labels_",3,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdfCss)).labels_",0,"KMedians(partitions=2,dataframe =riverdfCssLog)",1,"KMedians(partitions=2,dataframe=fulldfCssLog)",1,"KMedians(partitions = 7,dataframe =fulldfCssLog)",6,"hdbscan.HDBSCAN(min_cluster_size=4,metric=""euclidean"").fit_predict(riverdfCssLog)",3,"hdbscan.HDBSCAN(min_cluster_size=4,metric=""euclidean"").fit_predict(fulldfCssLog)",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((fulldfCssLog))",3,"KMedians(partitions = 7,dataframe =riverdfCssLog)",6
1-S03B,0.0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdfCssLog))",1,"KMeans(random_state=11235,n_jobs = -1,n_clusters=2).fit((riverdfCssLog)).labels_",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=2).fit((fulldfCssLog)).labels_",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdf)).labels_",6,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((riverdfCss)).labels_",0,"KMedians(partitions=2,dataframe =riverdfCssLog)",1,"KMedians(partitions=2,dataframe=fulldfCssLog)",1,"KMedians(partitions = 7,dataframe =fulldfCssLog)",6,"hdbscan.HDBSCAN(min_cluster_size=4,metric=""euclidean"").fit_predict(riverdfCssLog)",3,"hdbscan.HDBSCAN(min_cluster_size=4,metric=""euclidean"").fit_predict(fulldfCssLog)",0,"KMeans(random_state=11235,n_jobs = -1,n_clusters=7).fit((fulldfCssLog))",3,"KMedians(partitions = 7,dataframe =riverdfCssLog)",6
